playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
abercda01,1871,1,TRO,NA,SS,1,,,1,3,2,0,,,,,
addybo01,1871,1,RC1,NA,2B,22,,,67,72,42,5,,,,,
addybo01,1871,1,RC1,NA,SS,3,,,8,14,7,0,,,,,
allisar01,1871,1,CL1,NA,2B,2,,,1,4,0,0,,,,,
allisar01,1871,1,CL1,NA,OF,29,,,51,3,7,1,,,,,
allisdo01,1871,1,WS3,NA,C,27,,,68,15,20,4,0,,,,
ansonca01,1871,1,RC1,NA,1B,1,,,7,0,0,0,,,,,
ansonca01,1871,1,RC1,NA,2B,2,,,3,4,1,0,,,,,
ansonca01,1871,1,RC1,NA,3B,20,,,38,52,28,2,,,,,
ansonca01,1871,1,RC1,NA,C,5,,,10,0,8,0,0,,,,
ansonca01,1871,1,RC1,NA,OF,1,,,0,0,0,0,,,,,
armstbo01,1871,1,FW1,NA,OF,12,,,29,2,7,0,,,,,
barkeal01,1871,1,RC1,NA,OF,1,,,2,0,0,0,,,,,
barnero01,1871,1,BS1,NA,2B,16,,,42,61,15,10,,,,,
barnero01,1871,1,BS1,NA,SS,15,,,44,64,21,3,,,,,
barrebi01,1871,1,FW1,NA,3B,1,,,1,0,0,0,,,,,
barrebi01,1871,1,FW1,NA,C,1,,,8,0,0,0,0,,,,
barrofr01,1871,1,BS1,NA,2B,1,,,2,0,1,0,,,,,
barrofr01,1871,1,BS1,NA,OF,17,,,28,1,6,0,,,,,
bassjo01,1871,1,CL1,NA,C,1,,,4,0,1,0,0,,,,
bassjo01,1871,1,CL1,NA,SS,22,,,41,61,29,3,,,,,
battijo01,1871,1,CL1,NA,OF,1,,,1,0,0,0,,,,,
bealsto01,1871,1,WS3,NA,2B,2,,,9,7,0,1,,,,,
bealsto01,1871,1,WS3,NA,OF,8,,,20,1,6,0,,,,,
beaveed01,1871,1,TRO,NA,2B,3,,,8,10,4,2,,,,,
bechtge01,1871,1,PH1,NA,3B,3,,,3,3,2,0,,,,,
bechtge01,1871,1,PH1,NA,OF,15,,,21,2,5,1,,,,,
bechtge01,1871,1,PH1,NA,P,3,,,1,7,0,0,,,,,
bellast01,1871,1,TRO,NA,3B,28,,,48,49,39,4,,,,,
bellast01,1871,1,TRO,NA,SS,1,,,1,4,0,0,,,,,
berkena01,1871,1,PH1,NA,OF,1,,,3,0,0,0,,,,,
berryto01,1871,1,PH1,NA,OF,1,,,0,0,1,0,,,,,
berthha01,1871,1,WS3,NA,2B,5,,,16,10,7,1,,,,,
berthha01,1871,1,WS3,NA,C,1,,,0,0,1,0,0,,,,
berthha01,1871,1,WS3,NA,OF,12,,,29,0,7,0,,,,,
biermch01,1871,1,FW1,NA,1B,1,,,9,0,2,0,,,,,
birdge01,1871,1,RC1,NA,OF,25,,,32,2,11,0,,,,,
birdsda01,1871,1,BS1,NA,C,7,,,9,6,2,0,0,,,,
birdsda01,1871,1,BS1,NA,OF,27,,,27,3,9,1,,,,,
brainas01,1871,1,WS3,NA,P,30,,,18,28,8,1,,,,,
brannmi01,1871,1,CH1,NA,3B,3,,,3,2,5,0,,,,,
burrohe01,1871,1,WS3,NA,2B,1,,,1,0,1,0,,,,,
burrohe01,1871,1,WS3,NA,3B,5,,,10,11,9,0,,,,,
burrohe01,1871,1,WS3,NA,OF,8,,,11,1,5,0,,,,,
careyto01,1871,1,FW1,NA,2B,19,,,58,50,18,5,,,,,
carleji01,1871,1,CL1,NA,1B,29,,,295,4,34,10,,,,,
conefr01,1871,1,BS1,NA,OF,18,,,39,2,7,0,,,,,
connone01,1871,1,TRO,NA,1B,4,,,35,1,5,1,,,,,
connone01,1871,1,TRO,NA,OF,3,,,4,1,4,0,,,,,
cravebi01,1871,1,TRO,NA,1B,2,,,18,1,1,1,,,,,
cravebi01,1871,1,TRO,NA,2B,18,,,57,50,16,11,,,,,
cravebi01,1871,1,TRO,NA,C,3,,,10,4,1,0,0,,,,
cravebi01,1871,1,TRO,NA,OF,1,,,0,0,0,0,,,,,
cravebi01,1871,1,TRO,NA,SS,4,,,6,12,4,3,,,,,
cuthbne01,1871,1,PH1,NA,C,1,,,2,1,1,0,0,,,,
cuthbne01,1871,1,PH1,NA,OF,27,,,78,3,10,0,,,,,
deaneha01,1871,1,FW1,NA,OF,6,,,21,0,0,0,,,,,
donnepe01,1871,1,FW1,NA,3B,2,,,1,1,8,0,,,,,
donnepe01,1871,1,FW1,NA,OF,9,,,5,0,2,0,,,,,
duffyed01,1871,1,CH1,NA,3B,1,,,0,0,1,0,,,,,
duffyed01,1871,1,CH1,NA,SS,26,,,42,90,44,5,,,,,
eggleda01,1871,1,NY2,NA,OF,33,,,88,3,9,1,,,,,
ewellge01,1871,1,CL1,NA,OF,1,,,1,0,0,0,,,,,
fergubo01,1871,1,NY2,NA,2B,11,,,29,22,13,4,,,,,
fergubo01,1871,1,NY2,NA,3B,20,,,31,58,26,3,,,,,
fergubo01,1871,1,NY2,NA,C,5,,,19,0,4,0,0,,,,
fergubo01,1871,1,NY2,NA,P,1,,,0,0,0,0,,,,,
fishech01,1871,1,RC1,NA,1B,2,,,12,0,1,0,,,,,
fishech01,1871,1,RC1,NA,2B,1,,,1,1,1,0,,,,,
fishech01,1871,1,RC1,NA,P,24,,,22,54,6,3,,,,,
fislewe01,1871,1,PH1,NA,1B,26,,,240,1,7,9,,,,,
fislewe01,1871,1,PH1,NA,2B,2,,,6,2,2,0,,,,,
fleetfr01,1871,1,NY2,NA,P,1,,,0,5,0,0,,,,,
flowedi01,1871,1,TRO,NA,2B,1,,,1,4,2,0,,,,,
flowedi01,1871,1,TRO,NA,P,1,,,0,0,0,0,,,,,
flowedi01,1871,1,TRO,NA,SS,20,,,28,72,30,8,,,,,
flynncl01,1871,1,TRO,NA,1B,19,,,183,8,9,12,,,,,
flynncl01,1871,1,TRO,NA,2B,1,,,2,3,2,0,,,,,
flynncl01,1871,1,TRO,NA,3B,1,,,2,4,2,0,,,,,
flynncl01,1871,1,TRO,NA,OF,8,,,16,2,7,2,,,,,
foleyto01,1871,1,CH1,NA,3B,1,,,2,1,1,0,,,,,
foleyto01,1871,1,CH1,NA,C,4,,,13,1,8,0,0,,,,
foleyto01,1871,1,CH1,NA,OF,16,,,18,1,11,0,,,,,
foranji01,1871,1,FW1,NA,1B,16,,,111,4,16,2,,,,,
foranji01,1871,1,FW1,NA,OF,4,,,11,1,2,0,,,,,
forceda01,1871,1,WS3,NA,3B,1,,,2,2,1,0,,,,,
forceda01,1871,1,WS3,NA,SS,31,,,46,159,38,7,,,,,
fulmech01,1871,1,RC1,NA,1B,1,,,9,0,0,0,,,,,
fulmech01,1871,1,RC1,NA,SS,16,,,29,65,28,4,,,,,
glennjo01,1871,1,WS3,NA,OF,26,,,34,3,6,2,,,,,
goldswa01,1871,1,FW1,NA,3B,8,,,10,5,14,0,,,,,
